feature,correlation,p_value
Vegetation_mean,0.421860473562912,0.0005740118517781656
Junction Box_std,0.258375121219502,0.04089617830128669
Truck_std,0.25147073862339436,0.04680158264849146
Junction Box_mean,0.2504782556910632,0.0477052959722584
Truck_mean,0.2467440305036194,0.05123454337373972
Terrain_mean,0.2405814695479314,0.05752283668932048
Car_mean,0.22488821931952485,0.07639030291108216
Terrain_std,0.2225626567770422,0.07956349217581479
Mailbox_mean,0.21227904748313384,0.0948663663372254
Bench_mean,0.20695269330295932,0.10364919259503463
Vegetation_std,0.20392124088813396,0.10892198672722138
Mailbox_std,0.19709278103276331,0.12155511792088176
Banner_std,0.1961790600255785,0.12332700519977553
Bench_std,0.18601801985530625,0.14437805329024309
Traffic Light_mean,0.18162832947092275,0.15426079752730543
Curb_mean,0.1722899226558907,0.1769370376479358
Traffic Sign (Back)_mean,0.17182736747302943,0.17812003011497263
Fire Hydrant_mean,0.17052390689573008,0.18148451268206997
Service Lane_mean,0.16236554445951967,0.20359159854489425
Service Lane_std,0.16236554445951965,0.20359159854489425
Bicycle_mean,0.1587318376576302,0.21402964583113548
Fire Hydrant_std,0.1533954141105988,0.23003208502795625
Guard Rail_mean,0.1496049988124063,0.24189065266802848
Traffic Sign (Back)_std,0.14895507333909574,0.243965361878712
Curb Cut_mean,0.13912685712781056,0.2768286579951782
Traffic Sign (Front)_std,0.13672394003691546,0.2852910769506221
Pole_mean,0.1292663710035778,0.31263032445062855
Traffic Sign (Front)_mean,0.11669924784027066,0.3623794542027504
Car_std,0.1131388902259911,0.37730712996142135
Manhole_mean,0.11060491985307244,0.38815315353500845
Person_mean,0.10813447472639823,0.39890354889676893
Bike Lane_std,0.09751332999536497,0.447073135549226
Parking_mean,0.0954422136843375,0.45682793552966294
Banner_mean,0.09056010870549891,0.4802770435771124
Bicycle_std,0.09021571222677412,0.4819550078835037
Water_mean,0.0885626099628429,0.49005232819807865
Guard Rail_std,0.08841265312977518,0.49079036890263616
Utility Pole_mean,0.08516873566872432,0.5068974779592547
Pole_std,0.08448511459819809,0.5103260964714299
Other Vehicle_std,0.08439315782448276,0.5107881951863501
Bus_std,0.08323155996863227,0.5166437314976212
Other Vehicle_mean,0.07707089562246613,0.5482560507697312
Trash Can_mean,0.07293349507063572,0.5699964165605972
Bike Lane_mean,0.07227780442943407,0.5734782448021329
Bus_mean,0.0691923687003602,0.5899929493418975
Traffic Light_std,0.06779066496412268,0.5975654215988782
Curb Cut_std,0.06651563094165898,0.6044907456144519
Wheeled Slow_mean,0.0576658920212951,0.6534914505701676
Motorcycle_mean,0.05687122851557691,0.6579677640329712
Trash Can_std,0.054214529872198686,0.6730191307896503
Ego Vehicle_mean,0.04909117441797551,0.702404310834936
Manhole_std,0.04460368746959344,0.7285055448317439
Motorcyclist_std,0.025373949656776265,0.8435159358672554
Phone Booth_mean,0.02451134758415631,0.8487720139118888
On Rails_mean,0.021917985784554714,0.8646127356073682
On Rails_std,0.019175265794645697,0.8814235603635664
Ego Vehicle_std,0.018622173383888323,0.8848201719167218
Motorcyclist_mean,0.017643296689771364,0.8908366040552599
Motorcycle_std,0.01594303323034031,0.9013012564906162
Pothole_mean,0.014343477520545798,0.9111614070716196
Phone Booth_std,0.014092392631222975,0.9127104217511752
Caravan_mean,-8.472358931312443e-06,0.99994741891913
