Recording timestamp [μs],Computer timestamp [μs],Sensor,Project name,Participant name,Recording name,Recording start time,Recording duration [ms],Gaze point X [MCS px],Gaze point Y [MCS px],Pupil diameter left [mm],Pupil diameter right [mm],Pupil diameter filtered [mm],Validity left,Validity right,Eye movement type,Eye movement event duration [ms],Fixation point X [MCS px],Fixation point Y [MCS px]
24674,24674,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1174.0,333.0,,1.645,1.645,Invalid,Valid,Fixation,60,1171.0,334.0
34669,34669,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1175.0,331.0,,1.61,1.61,Invalid,Valid,Fixation,60,1171.0,334.0
44656,44656,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1170.0,345.0,,1.515,1.556,Invalid,Valid,Fixation,60,1171.0,334.0
54721,54721,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1171.0,334.0,,1.556,1.546,Invalid,Valid,Fixation,60,1171.0,334.0
64747,64747,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1168.0,334.0,,1.546,1.546,Invalid,Valid,Fixation,60,1171.0,334.0
74743,74743,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1168.0,334.0,,1.53,1.556,Invalid,Valid,Fixation,60,1171.0,334.0
735954,735954,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1169.0,446.0,,1.692,1.692,Invalid,Valid,Fixation,150,1169.0,454.0
745980,745980,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1171.0,452.0,,1.668,1.668,Invalid,Valid,Fixation,150,1169.0,454.0
755975,755975,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1171.0,455.0,,1.656,1.656,Invalid,Valid,Fixation,150,1169.0,454.0
765961,765961,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1171.0,455.0,,1.624,1.624,Invalid,Valid,Fixation,150,1169.0,454.0
776025,776025,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1170.0,454.0,,1.575,1.575,Invalid,Valid,Fixation,150,1169.0,454.0
786052,786052,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1171.0,453.0,,1.54,1.54,Invalid,Valid,Fixation,150,1169.0,454.0
796048,796048,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1171.0,453.0,,1.515,1.515,Invalid,Valid,Fixation,150,1169.0,454.0
806034,806034,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1170.0,453.0,,1.5,1.5,Invalid,Valid,Fixation,150,1169.0,454.0
816099,816099,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1169.0,454.0,,1.48,1.48,Invalid,Valid,Fixation,150,1169.0,454.0
826124,826124,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1168.0,456.0,,1.466,1.466,Invalid,Valid,Fixation,150,1169.0,454.0
836119,836119,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1166.0,457.0,,1.455,1.455,Invalid,Valid,Fixation,150,1169.0,454.0
846106,846106,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1166.0,456.0,,1.444,1.444,Invalid,Valid,Fixation,150,1169.0,454.0
856170,856170,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1165.0,454.0,,1.428,1.428,Invalid,Valid,Fixation,150,1169.0,454.0
866197,866197,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1165.0,453.0,,1.42,1.428,Invalid,Valid,Fixation,150,1169.0,454.0
876193,876193,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1165.0,452.0,,1.424,1.428,Invalid,Valid,Fixation,150,1169.0,454.0
1216823,1216823,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1078.0,431.0,,1.566,1.566,Invalid,Valid,Fixation,150,1082.0,457.0
1226849,1226849,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1084.0,452.0,,1.633,1.633,Invalid,Valid,Fixation,150,1082.0,457.0
1236845,1236845,Eye Tracker,Demo,Anthony ,Recording 16,13:31:12.488,374522,1085.0,454.0,,1.643,1.643,Invalid,Valid,Fixation,150,1082.0,457.0
